step,loss
1,11.921612739562988
2,11.960686683654785
3,11.960180282592773
4,11.942532539367676
5,11.918947219848633
6,11.864130020141602
7,11.8479642868042
8,11.931574821472168
9,11.948514938354492
10,11.92747974395752
11,11.955892562866211
12,11.901022911071777
13,11.877509117126465
14,11.807660102844238
15,11.8632230758667
16,11.888435363769531
17,11.873237609863281
18,11.857702255249023
19,11.86727523803711
20,11.867853164672852
21,11.823954582214355
22,11.824548721313477
23,11.831927299499512
24,11.790943145751953
25,11.790670394897461
26,11.770842552185059
27,11.718648910522461
28,11.721844673156738
29,11.774847030639648
30,11.72011661529541
31,11.716504096984863
32,11.723288536071777
33,11.708763122558594
34,11.747753143310547
35,11.65268611907959
36,11.767045974731445
37,11.82243824005127
38,11.705427169799805
39,11.620556831359863
40,11.75016975402832
41,11.62834644317627
42,11.752778053283691
43,11.73392105102539
44,11.638056755065918
45,11.514010429382324
46,11.806283950805664
47,11.529938697814941
48,11.50723648071289
49,11.484715461730957
50,11.543780326843262
51,11.655967712402344
52,11.642135620117188
53,11.592279434204102
54,11.642546653747559
55,11.634692192077637
56,11.495929718017578
57,11.554177284240723
58,11.646553039550781
59,11.64494514465332
60,11.516959190368652
61,11.55023193359375
62,11.599102020263672
63,11.497641563415527
64,11.418442726135254
65,11.616671562194824
66,11.613517761230469
67,11.657777786254883
68,11.417769432067871
69,11.542399406433105
70,11.462823867797852
71,11.698214530944824
72,11.343199729919434
73,11.366059303283691
74,11.206198692321777
75,11.346456527709961
76,11.500473022460938
77,11.398293495178223
78,11.461949348449707
79,11.414482116699219
80,11.395034790039062
81,11.338480949401855
82,11.308110237121582
83,11.098639488220215
84,11.376646995544434
85,11.345110893249512
86,11.155804634094238
87,11.303929328918457
88,11.35338020324707
89,11.387916564941406
90,11.258635520935059
91,11.362845420837402
92,11.236054420471191
93,11.365347862243652
94,11.271331787109375
95,11.187531471252441
96,11.181340217590332
97,11.245804786682129
98,11.31781005859375
99,10.921036720275879
100,11.189224243164062
101,11.074344635009766
102,11.248056411743164
103,11.165090560913086
104,11.315779685974121
105,11.241443634033203
106,11.130990028381348
107,11.314693450927734
108,11.236865043640137
109,11.164495468139648
110,11.189261436462402
111,11.025416374206543
112,11.045843124389648
113,11.255500793457031
114,11.290194511413574
115,11.041308403015137
116,11.15898323059082
117,11.119529724121094
118,11.027280807495117
119,11.195585250854492
120,10.957388877868652
121,11.124332427978516
122,10.521021842956543
123,11.236767768859863
124,11.083148002624512
125,11.25378704071045
126,10.726439476013184
127,10.867083549499512
128,11.167444229125977
129,11.188323974609375
130,11.232012748718262
131,10.888437271118164
132,10.89311695098877
133,10.800577163696289
134,10.918097496032715
135,10.834417343139648
136,10.898470878601074
137,11.052992820739746
138,10.823034286499023
139,10.986956596374512
140,11.017196655273438
141,11.083661079406738
142,10.847688674926758
143,10.819188117980957
144,10.931410789489746
145,10.788049697875977
146,10.80095100402832
147,11.171863555908203
148,10.876042366027832
149,11.022039413452148
150,10.971238136291504
151,10.749377250671387
